task_id,market_total_tokens,solo_total_tokens,delta_tokens,market_calls,solo_calls,delta_calls
astropy__astropy-14182,115921,96068,19853,13,5,8
django__django-11133,22539,15215,7324,6,2,4
django__django-11179,16987,21820,-4833,7,4,3
django__django-11815,22359,28141,-5782,7,5,2
django__django-11964,14480,14695,-215,7,4,3
django__django-11999,65826,25149,40677,13,2,11
django__django-12125,44557,28940,15617,13,4,9
django__django-12308,19494,23433,-3939,7,5,2
django__django-12708,128010,50036,77974,13,2,11
django__django-14155,70190,53693,16497,13,5,8
matplotlib__matplotlib-23299,228260,209871,18389,12,5,7
matplotlib__matplotlib-23476,366901,286636,80265,13,9,4
matplotlib__matplotlib-24970,369992,284470,85522,13,4,9
matplotlib__matplotlib-25311,305844,231208,74636,13,4,9
matplotlib__matplotlib-25332,332066,243822,88244,13,4,9
psf__requests-2317,58516,39747,18769,13,4,9
pylint-dev__pylint-7080,73309,25851,47458,13,2,11
pytest-dev__pytest-7432,49822,15275,34547,12,2,10
scikit-learn__scikit-learn-13142,50924,38172,12752,6,2,4
scikit-learn__scikit-learn-13439,107670,43488,64182,13,2,11
scikit-learn__scikit-learn-13496,87741,69517,18224,7,2,5
scikit-learn__scikit-learn-25747,81666,62223,19443,13,4,9
sphinx-doc__sphinx-8721,16108,8318,7790,7,2,5
sympy__sympy-12481,86534,69227,17307,13,6,7
sympy__sympy-13031,69928,48943,20985,13,4,9
sympy__sympy-13480,37170,26911,10259,7,2,5
sympy__sympy-13647,101608,107993,-6385,13,22,-9
sympy__sympy-15345,15378,16620,-1242,7,4,3
sympy__sympy-16792,100949,81218,19731,12,4,8
sympy__sympy-17630,65768,51113,14655,13,5,8
