model,task,task family,success,token consumption
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,true,4235175
openai:gpt-5.2-2025-12-11,astropy__astropy-12907,astropy/astropy,true,2265858
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,5047392
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,true,7724687
openai:gpt-5.2-2025-12-11,astropy__astropy-14365,astropy/astropy,false,6575097
openai:gpt-5.2-2025-12-11,astropy__astropy-14365,astropy/astropy,false,2767969
openai:gpt-5.2-2025-12-11,astropy__astropy-14995,astropy/astropy,true,4808481
openai:gpt-5.2-2025-12-11,django__django-10914,django/django,true,2978223
openai:gpt-5.2-2025-12-11,django__django-11099,django/django,true,2734551
openai:gpt-5.2-2025-12-11,django__django-11133,django/django,true,3033646
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,true,2969687
openai:gpt-5.2-2025-12-11,django__django-11815,django/django,true,6183190
openai:gpt-5.2-2025-12-11,django__django-11848,django/django,true,3379674
openai:gpt-5.2-2025-12-11,django__django-11964,django/django,true,7019226
openai:gpt-5.2-2025-12-11,django__django-11999,django/django,true,11067310
openai:gpt-5.2-2025-12-11,django__django-12125,django/django,true,7349774
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,6308371
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,3535112
openai:gpt-5.2-2025-12-11,django__django-12708,django/django,true,7317092
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,6969637
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,3995367
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,false,6900158
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,false,4303692
openai:gpt-5.2-2025-12-11,django__django-15252,django/django,true,10856038
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,5612125
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,9117901
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,6271220
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,11718062
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,3873270
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,3333950
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,7319961
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,5237025
