model,task,task family,success,token consumption
google:models/gemini-3-pro-preview,astropy__astropy-14182,astropy/astropy,false,54223
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,47296
google:models/gemini-3-pro-preview,django__django-11964,django/django,true,7671
google:models/gemini-3-pro-preview,django__django-12308,django/django,true,12270
google:models/gemini-3-pro-preview,django__django-14155,django/django,false,28764
openai:gpt-5-mini-2025-08-07,django__django-14155,django/django,false,25954
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,106402
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,109304
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,141669
google:models/gemini-3-pro-preview,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,210250
google:models/gemini-3-pro-preview,psf__requests-2317,psf/requests,false,23660
openai:gpt-5-mini-2025-08-07,psf__requests-2317,psf/requests,false,20011
openai:gpt-5-mini-2025-08-07,pylint-dev__pylint-7080,pylint-dev/pylint,false,27417
google:models/gemini-3-pro-preview,pylint-dev__pylint-7080,pylint-dev/pylint,true,31685
openai:gpt-5-mini-2025-08-07,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,31721
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,35747
google:models/gemini-3-pro-preview,sympy__sympy-17630,sympy/sympy,false,27340
openai:gpt-5.2-2025-12-11,sympy__sympy-17630,sympy/sympy,false,24427
google:models/gemini-3-pro-preview,django__django-11133,django/django,true,17250
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,true,10289
google:models/gemini-3-pro-preview,django__django-11815,django/django,true,15232
openai:gpt-5-mini-2025-08-07,django__django-11999,django/django,false,24999
openai:gpt-5.2-pro-2025-12-11,django__django-11999,django/django,false,27189
google:models/gemini-3-pro-preview,django__django-12125,django/django,false,15732
openai:gpt-5-mini-2025-08-07,django__django-12125,django/django,false,14589
openai:gpt-5.2-2025-12-11,django__django-12708,django/django,false,50022
google:models/gemini-3-pro-preview,django__django-12708,django/django,false,62549
google:models/gemini-3-pro-preview,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,211963
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,true,143662
google:models/gemini-3-pro-preview,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,175128
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,116144
google:models/gemini-3-pro-preview,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,194226
openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,122920
google:models/gemini-3-pro-preview,pytest-dev__pytest-7432,pytest-dev/pytest,false,17348
anthropic:claude-opus-4-5-20251101,pytest-dev__pytest-7432,pytest-dev/pytest,true,19750
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,true,45731
openai:gpt-5-mini-2025-08-07,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,false,42805
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,50596
google:models/gemini-3-pro-preview,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,80544
google:models/gemini-3-pro-preview,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,9352
openai:gpt-5-mini-2025-08-07,sympy__sympy-12481,sympy/sympy,false,36604
google:models/gemini-3-pro-preview,sympy__sympy-12481,sympy/sympy,true,36488
google:models/gemini-3-pro-preview,sympy__sympy-13031,sympy/sympy,false,26867
anthropic:claude-opus-4-5-20251101,sympy__sympy-13031,sympy/sympy,false,28222
google:models/gemini-3-pro-preview,sympy__sympy-13480,sympy/sympy,true,30213
google:models/gemini-3-pro-preview,sympy__sympy-13647,sympy/sympy,false,44331
openai:gpt-5-mini-2025-08-07,sympy__sympy-13647,sympy/sympy,true,42070
google:models/gemini-3-pro-preview,sympy__sympy-15345,sympy/sympy,true,8485
openai:gpt-5.2-2025-12-11,sympy__sympy-16792,sympy/sympy,false,39752
anthropic:claude-opus-4-5-20251101,sympy__sympy-16792,sympy/sympy,true,48986
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,46463
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,46838
openai:gpt-5.2-2025-12-11,django__django-11964,django/django,false,6166
openai:gpt-5.2-2025-12-11,django__django-11964,django/django,false,6865
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,10576
openai:gpt-5.2-2025-12-11,django__django-12308,django/django,false,10172
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,22686
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,28265
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,103685
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,103579
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,139242
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,139758
openai:gpt-5.2-2025-12-11,psf__requests-2317,psf/requests,false,19030
openai:gpt-5.2-2025-12-11,psf__requests-2317,psf/requests,false,19048
openai:gpt-5.2-2025-12-11,pylint-dev__pylint-7080,pylint-dev/pylint,true,25047
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,30082
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,30376
openai:gpt-5.2-2025-12-11,sympy__sympy-17630,sympy/sympy,false,24018
openai:gpt-5.2-2025-12-11,sympy__sympy-17630,sympy/sympy,false,24342
openai:gpt-5.2-2025-12-11,astropy__astropy-12907,astropy/astropy,true,101092
openai:gpt-5.2-2025-12-11,astropy__astropy-14365,astropy/astropy,true,48640
openai:gpt-5.2-2025-12-11,astropy__astropy-14995,astropy/astropy,true,34472
openai:gpt-5.2-2025-12-11,django__django-10914,django/django,true,21046
openai:gpt-5.2-2025-12-11,django__django-11099,django/django,true,4901
openai:gpt-5.2-2025-12-11,django__django-11133,django/django,true,14407
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,false,10085
openai:gpt-5.2-2025-12-11,django__django-11179,django/django,false,10091
openai:gpt-5.2-2025-12-11,django__django-11815,django/django,false,13057
openai:gpt-5.2-2025-12-11,django__django-11815,django/django,true,12509
openai:gpt-5.2-2025-12-11,django__django-11848,django/django,false,11462
openai:gpt-5.2-2025-12-11,django__django-11848,django/django,true,11672
openai:gpt-5.2-2025-12-11,django__django-11999,django/django,true,24361
openai:gpt-5.2-2025-12-11,django__django-12125,django/django,false,14295
openai:gpt-5.2-2025-12-11,django__django-12125,django/django,false,12880
openai:gpt-5.2-2025-12-11,django__django-12708,django/django,true,49262
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,false,48244
openai:gpt-5.2-2025-12-11,django__django-14534,django/django,true,47995
openai:gpt-5.2-2025-12-11,django__django-15252,django/django,false,28080
openai:gpt-5.2-2025-12-11,django__django-15252,django/django,false,27890
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,56928
openai:gpt-5.2-2025-12-11,django__django-15695,django/django,false,56883
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,228194
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,228797
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24149,matplotlib/matplotlib,true,259653
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,141500
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-24970,matplotlib/matplotlib,true,141316
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,114666
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25311,matplotlib/matplotlib,false,114834
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,121098
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-25332,matplotlib/matplotlib,false,121060
openai:gpt-5.2-2025-12-11,pydata__xarray-4094,pydata/xarray,false,110600
openai:gpt-5.2-2025-12-11,pydata__xarray-4094,pydata/xarray,false,110134
openai:gpt-5.2-2025-12-11,pytest-dev__pytest-7432,pytest-dev/pytest,true,14472
openai:gpt-5.2-2025-12-11,pytest-dev__pytest-7490,pytest-dev/pytest,false,18687
openai:gpt-5.2-2025-12-11,pytest-dev__pytest-7490,pytest-dev/pytest,false,18624
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,true,72307
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,true,37366
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,42659
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,68684
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,false,8127
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,false,7995
openai:gpt-5.2-2025-12-11,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,7530
openai:gpt-5.2-2025-12-11,sympy__sympy-12419,sympy/sympy,false,14363
openai:gpt-5.2-2025-12-11,sympy__sympy-12419,sympy/sympy,false,14394
openai:gpt-5.2-2025-12-11,sympy__sympy-12481,sympy/sympy,false,32724
openai:gpt-5.2-2025-12-11,sympy__sympy-12481,sympy/sympy,false,32883
openai:gpt-5.2-2025-12-11,sympy__sympy-13031,sympy/sympy,false,23600
openai:gpt-5.2-2025-12-11,sympy__sympy-13031,sympy/sympy,false,23671
openai:gpt-5.2-2025-12-11,sympy__sympy-13480,sympy/sympy,true,26126
openai:gpt-5.2-2025-12-11,sympy__sympy-13647,sympy/sympy,false,39224
openai:gpt-5.2-2025-12-11,sympy__sympy-13647,sympy/sympy,true,40955
openai:gpt-5.2-2025-12-11,sympy__sympy-15345,sympy/sympy,false,7464
openai:gpt-5.2-2025-12-11,sympy__sympy-15345,sympy/sympy,false,7482
openai:gpt-5.2-2025-12-11,sympy__sympy-16792,sympy/sympy,false,39841
openai:gpt-5.2-2025-12-11,sympy__sympy-16792,sympy/sympy,false,39709
openai:gpt-5.2-2025-12-11,sympy__sympy-18199,sympy/sympy,false,52720
openai:gpt-5.2-2025-12-11,sympy__sympy-18199,sympy/sympy,false,52896
openai:gpt-5.2-2025-12-11,sympy__sympy-18698,sympy/sympy,false,104865
openai:gpt-5.2-2025-12-11,sympy__sympy-18698,sympy/sympy,false,105180
openai:gpt-5.2-2025-12-11,sympy__sympy-21379,sympy/sympy,false,39801
openai:gpt-5.2-2025-12-11,sympy__sympy-21379,sympy/sympy,true,39965
openai:gpt-5.2-2025-12-11,sympy__sympy-21612,sympy/sympy,true,31141
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-14182,astropy/astropy,false,50849
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,46636
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,108891
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,103293
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-12907,astropy/astropy,false,102979
anthropic:claude-opus-4-5-20251101,astropy__astropy-12907,astropy/astropy,true,124034
openai:gpt-5.2-pro-2025-12-11,django__django-10914,django/django,true,22534
openai:gpt-5.2-pro-2025-12-11,django__django-11848,django/django,true,15082
openai:gpt-5.2-pro-2025-12-11,django__django-11964,django/django,false,8847
anthropic:claude-opus-4-5-20251101,django__django-11964,django/django,true,7953
openai:gpt-5.2-pro-2025-12-11,django__django-12308,django/django,true,14879
openai:gpt-5.2-pro-2025-12-11,django__django-14155,django/django,false,0
openai:gpt-5.2-2025-12-11,django__django-14155,django/django,false,23105
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,0
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23314,matplotlib/matplotlib,false,228221
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,144612
openai:gpt-5.2-2025-12-11,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,0
openai:gpt-5.2-pro-2025-12-11,psf__requests-2317,psf/requests,false,20684
openai:gpt-5.2-2025-12-11,psf__requests-2317,psf/requests,false,19206
openai:gpt-5.2-pro-2025-12-11,pydata__xarray-4094,pydata/xarray,false,115501
openai:gpt-5.2-2025-12-11,pydata__xarray-4094,pydata/xarray,false,110567
openai:gpt-5.2-pro-2025-12-11,pylint-dev__pylint-7080,pylint-dev/pylint,false,30264
anthropic:claude-opus-4-5-20251101,pylint-dev__pylint-7080,pylint-dev/pylint,false,31315
openai:gpt-5.2-pro-2025-12-11,pytest-dev__pytest-7490,pytest-dev/pytest,false,0
anthropic:claude-opus-4-5-20251101,pytest-dev__pytest-7490,pytest-dev/pytest,true,23337
openai:gpt-5.2-pro-2025-12-11,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,true,72897
openai:gpt-5.2-pro-2025-12-11,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,0
openai:gpt-5.2-2025-12-11,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,0
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-17630,sympy/sympy,false,28832
anthropic:claude-opus-4-5-20251101,sympy__sympy-17630,sympy/sympy,false,29741
openai:gpt-5.2-pro-2025-12-11,sympy__sympy-21379,sympy/sympy,true,41557
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-14365,astropy/astropy,false,44639
anthropic:claude-opus-4-5-20251101,astropy__astropy-14365,astropy/astropy,false,53672
openai:gpt-5.2-pro-2025-12-11,astropy__astropy-14995,astropy/astropy,true,37167
openai:gpt-5.2-pro-2025-12-11,django__django-11099,django/django,true,5398
openai:gpt-5.2-pro-2025-12-11,django__django-11133,django/django,true,17286
openai:gpt-5.2-pro-2025-12-11,django__django-14534,django/django,false,0
anthropic:claude-opus-4-5-20251101,django__django-14534,django/django,true,59037
openai:gpt-5.2-pro-2025-12-11,django__django-15252,django/django,false,32535
openai:gpt-5.2-2025-12-11,django__django-15252,django/django,false,28033
openai:gpt-5.2-pro-2025-12-11,django__django-15695,django/django,false,62058
anthropic:claude-opus-4-5-20251101,django__django-15695,django/django,false,76746
openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-24149,matplotlib/matplotlib,false,0
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-24149,matplotlib/matplotlib,false,0
openai:gpt-5.2-pro-2025-12-11,pytest-dev__pytest-7432,pytest-dev/pytest,true,18016
