model,task,task family,success,token consumption
anthropic:claude-opus-4-5-20251101,astropy__astropy-12907,astropy/astropy,true,
anthropic:claude-opus-4-5-20251101,astropy__astropy-14182,astropy/astropy,false,
anthropic:claude-opus-4-5-20251101,astropy__astropy-14365,astropy/astropy,false,
anthropic:claude-opus-4-5-20251101,astropy__astropy-14995,astropy/astropy,true,
anthropic:claude-opus-4-5-20251101,django__django-10914,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-11099,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-11133,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-11179,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-11815,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-11848,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-11964,django/django,false,
anthropic:claude-opus-4-5-20251101,django__django-11999,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-12125,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-12308,django/django,false,
anthropic:claude-opus-4-5-20251101,django__django-12708,django/django,true,
anthropic:claude-opus-4-5-20251101,django__django-14155,django/django,false,
anthropic:claude-opus-4-5-20251101,django__django-14534,django/django,false,
anthropic:claude-opus-4-5-20251101,django__django-15252,django/django,false,
anthropic:claude-opus-4-5-20251101,django__django-15695,django/django,false,
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-23314,matplotlib/matplotlib,true,
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-24149,matplotlib/matplotlib,true,
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-24970,matplotlib/matplotlib,true,
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-25311,matplotlib/matplotlib,true,
anthropic:claude-opus-4-5-20251101,matplotlib__matplotlib-25332,matplotlib/matplotlib,true,
anthropic:claude-opus-4-5-20251101,psf__requests-2317,psf/requests,false,
anthropic:claude-opus-4-5-20251101,pydata__xarray-4094,pydata/xarray,true,
anthropic:claude-opus-4-5-20251101,pylint-dev__pylint-7080,pylint-dev/pylint,false,
anthropic:claude-opus-4-5-20251101,pytest-dev__pytest-7432,pytest-dev/pytest,true,
anthropic:claude-opus-4-5-20251101,pytest-dev__pytest-7490,pytest-dev/pytest,true,
anthropic:claude-opus-4-5-20251101,scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,true,
anthropic:claude-opus-4-5-20251101,scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,true,
anthropic:claude-opus-4-5-20251101,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,
anthropic:claude-opus-4-5-20251101,scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,
anthropic:claude-opus-4-5-20251101,scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,
anthropic:claude-opus-4-5-20251101,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,true,
anthropic:claude-opus-4-5-20251101,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-12419,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-12481,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-13031,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-13480,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-13647,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-15345,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-16792,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-17630,sympy/sympy,false,
anthropic:claude-opus-4-5-20251101,sympy__sympy-18199,sympy/sympy,false,
anthropic:claude-opus-4-5-20251101,sympy__sympy-18698,sympy/sympy,true,
anthropic:claude-opus-4-5-20251101,sympy__sympy-21379,sympy/sympy,false,
anthropic:claude-opus-4-5-20251101,sympy__sympy-21612,sympy/sympy,false,
anthropic:claude-sonnet-4-5-20250929,astropy__astropy-12907,astropy/astropy,true,
anthropic:claude-sonnet-4-5-20250929,astropy__astropy-14182,astropy/astropy,false,
anthropic:claude-sonnet-4-5-20250929,astropy__astropy-14365,astropy/astropy,true,
anthropic:claude-sonnet-4-5-20250929,astropy__astropy-14995,astropy/astropy,true,
anthropic:claude-sonnet-4-5-20250929,django__django-10914,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-11099,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-11133,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-11179,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-11815,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-11848,django/django,false,
anthropic:claude-sonnet-4-5-20250929,django__django-11964,django/django,false,
anthropic:claude-sonnet-4-5-20250929,django__django-11999,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-12125,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-12308,django/django,false,
anthropic:claude-sonnet-4-5-20250929,django__django-12708,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-14155,django/django,false,
anthropic:claude-sonnet-4-5-20250929,django__django-14534,django/django,true,
anthropic:claude-sonnet-4-5-20250929,django__django-15252,django/django,false,
anthropic:claude-sonnet-4-5-20250929,django__django-15695,django/django,false,
anthropic:claude-sonnet-4-5-20250929,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,
anthropic:claude-sonnet-4-5-20250929,matplotlib__matplotlib-23314,matplotlib/matplotlib,true,
anthropic:claude-sonnet-4-5-20250929,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,
anthropic:claude-sonnet-4-5-20250929,matplotlib__matplotlib-24149,matplotlib/matplotlib,true,
anthropic:claude-sonnet-4-5-20250929,matplotlib__matplotlib-24970,matplotlib/matplotlib,false,
anthropic:claude-sonnet-4-5-20250929,matplotlib__matplotlib-25311,matplotlib/matplotlib,true,
anthropic:claude-sonnet-4-5-20250929,matplotlib__matplotlib-25332,matplotlib/matplotlib,true,
anthropic:claude-sonnet-4-5-20250929,psf__requests-2317,psf/requests,false,
anthropic:claude-sonnet-4-5-20250929,pydata__xarray-4094,pydata/xarray,true,
anthropic:claude-sonnet-4-5-20250929,pylint-dev__pylint-7080,pylint-dev/pylint,false,
anthropic:claude-sonnet-4-5-20250929,pytest-dev__pytest-7432,pytest-dev/pytest,true,
