model,task,task family,success,token consumption,leaderboard,site_submission_name,site_submission_folder,site_submission_date,site_resolved_rate,site_cost,site_api_calls,site_model_tags,source_url,token_note
anthropic:claude-opus-4-5-20251101,astropy__astropy-12907,astropy/astropy,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.22785100000000003,14,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,astropy__astropy-14182,astropy/astropy,false,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.48524175,27,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,astropy__astropy-14365,astropy/astropy,false,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.30899550000000003,21,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,astropy__astropy-14995,astropy/astropy,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.3141595,16,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,django__django-10914,django/django,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.48176625,34,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,django__django-11099,django/django,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.21214650000000002,12,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,django__django-11133,django/django,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.23082750000000002,19,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,django__django-11179,django/django,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.38175400000000004,27,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,django__django-11815,django/django,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.5666830000000002,32,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
anthropic:claude-opus-4-5-20251101,django__django-11848,django/django,true,,bash-only,Claude 4.5 Opus medium (20251101),20251124_mini-v1.16.0_claude-opus-4-5-20251101,2025-11-24,74.4,0.3138995000000001,20,Model: claude-opus-4-5-20251101; Org: Anthropic; System: Attempts - 1; Mini: 1.16.0,https://raw.githubusercontent.com/swe-bench/swe-bench.github.io/master/data/leaderboards.json,"SWE-bench website per-instance details expose resolved, cost, and api_calls; they do not expose input/output token counts."
